,Session Reference,Log Record Identifier,Language,Frequency,Operating Mode,Antenna Mode,Accessory Mode,GPS Mode,RTC Time Updated,spare bit,BT Mode,BT ASCII Format,BLE Mode,BLE ASCII Format,Battery Type,Volume Setting,Tx O/P Setting,Power Mode,Sonde/Line,LR Arrows Type,Depth Units,Tx Status,Compass Enabled,Strike Alert Enabled,Swing Alert Enabled,Side Step Enabled,Auto Timeout Enabled,Spray Wand Enabled,Cal Safe Enabled,Vibration f/back Enabled,Marker Type,Utility type,Utility Owner,RTC Update Info,SM_Log_Event,spare,Rx Ticketing Reference Number,Bargraph 1,Bargraph 2,Bargraph 3,Bargraph 4,Bargraph 5,Bargraph 6,Bargraph 7,Bargraph 8,Bargraph 9,Bargraph 10,Bargraph 11,Bargraph 12,Bargraph 13,Bargraph 14,Bargraph 15,Bargraph 16,Bargraph 17,Bargraph 18,Bargraph 19,Bargraph 20,Bargraph 21,Bargraph 22,Bargraph 23,Bargraph 24,Bargraph 25,Compass Enabled.1,CD Arrows,ACVG/FF Arrows,Compass Enabled.2,CD Arrows.1,ACVG/FF Arrows.1,Compass Enabled.3,CD Arrows.2,ACVG/FF Arrows.2,Compass Enabled.4,CD Arrows.3,ACVG/FF Arrows.3,Compass Enabled.5,CD Arrows.4,ACVG/FF Arrows.4,comp_disp 1,comp_disp 2,comp_disp 3,comp_disp 4,comp_disp 5,Swing Warning,Strike Alert,Overload Warning,F1 audio active,F2 audio active,Power audio active,Radio audio active,spare bit.1,Swing Warning.1,Strike Alert.1,Overload Warning.1,F1 audio active.1,F2 audio active.1,Power audio active.1,Radio audio active.1,spare bit.2,Swing Warning.2,Strike Alert.2,Overload Warning.2,F1 audio active.2,F2 audio active.2,Power audio active.2,Radio audio active.2,spare bit.3,Swing Warning.3,Strike Alert.3,Overload Warning.3,F1 audio active.3,F2 audio active.3,Power audio active.3,Radio audio active.3,spare bit.4,Swing Warning.4,Strike Alert.4,Overload Warning.4,F1 audio active.4,F2 audio active.4,Power audio active.4,Radio audio active.4,spare bit.5,Displayed Signal Strength 1,Displayed Signal Strength 2,Displayed Signal Strength 3,Displayed Signal Strength 4,Displayed Signal Strength 5,Tilt Blade angle 1,Tilt Blade angle 2,Tilt Blade angle 3,Tilt Blade angle 4,Tilt Blade angle 5,Tilt_Paddle angle 1,Tilt_Paddle angle 2,Tilt_Paddle angle 3,Tilt_Paddle angle 4,Tilt_Paddle angle 5,Depth,Current,Gain,F1 Signal Strength,F2 Signal Strength,Powersignal strength,Radio signal strength,Antenna Compass,CD Phase,ACVG/FF Phase,ACVG/FF Signal Strength,Dynamic Overload Protection,Spray Wand,GPS Reference point,spare bits,Magnetic Compass,Key Button Event,Battery Level,Temperature,Main Battery Volts,RTC Battery Volts,Ecert,Self Test,CD Reset,Cal Safe,Peak Detect,PCMx Peak Detect,MRX Peak Detect,spare bit.6,GPS Fix,Number of Sats,Altitude,HDOP,Latitude,Longitude,Rx Date,Rx Time,GPS Heading (in degrees),GPS Ground Speed,,,
0,9,121413,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,44,41,35,28,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,179,177,10,30,15,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,0,0,0,0,0,-3,-3,2,0,1,-12,-11,-12,-13,-12,0,0,140,0.440649,0,0,0,177,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,75,0,51.41900433,-2.585276833,1/17/2023,11:50:50,0,0,,,
1,9,121414,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,29,34,29,48,61,55,48,46,44,46,59,50,61,56,49,53,43,40,32,26,23,21,17,14,11,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,31,21,20,27,54,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,443,443,597,633,633,-4,-2,-1,0,-3,-9,-7,-6,-6,-7,0,0,140,0.130881,0,0,0,54,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,70,0,51.4190315,-2.585308333,1/17/2023,11:50:51,0,0,,,
2,9,121415,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,15,58,75,68,61,55,55,52,43,49,39,40,43,37,32,27,25,36,44,38,42,34,32,31,55,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,25,52,78,84,13,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,290,290,724,443,443,-2,-5,-6,-3,-7,-2,-6,-11,-9,0,0,0,140,0.670125,0,0,0,13,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,66,0,51.41903617,-2.585342667,1/17/2023,11:50:52,0,0,,,
3,9,121416,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,49,44,39,33,26,34,30,25,21,17,44,46,39,43,41,43,34,30,35,36,39,31,26,45,36,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,3,6,23,4,37,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,528,528,363,495,495,-5,-1,-16,2,-13,-8,-7,-6,-10,-13,0,0,140,0.451487,0,0,0,37,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,65,0,51.41903117,-2.585353333,1/17/2023,11:50:53,0,0,,,
4,9,121417,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,38,32,27,23,19,70,63,51,40,36,35,28,26,27,34,34,29,26,22,18,22,20,16,12,12,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,38,41,16,40,20,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,450,450,522,374,374,-1,-3,3,-1,-5,1,-3,5,2,-15,0,0,140,0.154537,0,0,0,20,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,67,0,51.4190275,-2.585375167,1/17/2023,11:50:54,0,0,,,
5,9,121418,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,18,15,14,11,13,11,24,19,18,14,18,33,30,27,22,18,14,12,15,32,26,21,17,14,19,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,35,34,0,143,70,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,221,197,197,267,267,-4,-6,0,-13,-5,-9,-4,-7,-8,-15,0,0,140,0.349169,0,0,0,70,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,65,0,51.4190215,-2.585387833,1/17/2023,11:50:55,0,0,,,
6,9,121419,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,33,28,23,37,29,48,38,30,25,28,30,26,24,23,21,22,47,45,40,33,31,25,22,17,28,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,15,176,15,6,150,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,272,413,413,357,357,-5,-4,-3,-11,-8,-12,-1,-11,-11,-13,0,0,140,0.371942,0,0,0,150,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,64,0,51.41901317,-2.5853925,1/17/2023,11:50:56,0,0,,,
7,9,121420,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,27,26,42,39,36,31,27,23,20,16,21,36,45,35,30,29,44,39,31,30,24,20,29,25,31,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,166,164,11,3,168,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,363,379,379,424,424,0,0,-4,-3,-5,-14,-4,-11,-6,-12,0,0,140,0.409517,0,0,0,168,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,64,0,51.419002,-2.585381667,1/17/2023,11:50:57,0,0,,,
8,9,121421,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,28,22,20,25,39,32,26,23,28,22,20,18,23,46,37,31,25,23,22,18,25,40,34,31,24,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,139,147,152,179,36,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,349,340,340,356,356,-1,2,-8,-1,-2,-12,-7,-12,-6,-7,0,0,140,0.289242,0,0,0,36,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,64,0,51.418991,-2.585373,1/17/2023,11:50:58,0,0,,,
9,9,121422,UK,33kHz (32768Hz),Active,Peak,None,Internal,Not updated,0,Off,0,OFF,0,Li-Ion,0,Standby,50Hz,Line,Null,Metric,0,on,off,on,off,on,off,off,on,UNK,Power Transmission,MKP1,0,0,3,e81a2c90-7744-43d4-9476-9c98c7a0b563,21,17,23,19,57,70,64,56,47,37,32,29,26,26,21,24,25,57,54,46,37,30,27,24,40,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,0,No arrows,No arrows,25,169,7,172,10,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,Not Active,Not Active,Not Active,Active,Not Active,Not Active,Not Active,0,332,532,532,350,350,-2,-1,-7,-6,-17,-11,-10,-6,-7,-9,0,0,140,0.575784,0,0,0,10,0,0,0,Not Active,Not Active,Not Active,0,0,0,1,10,173,147,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,0,GPS,12,63,0,51.41898033,-2.585369167,1/17/2023,11:50:59,0,0,,,
